Date,Minimum_temperature,Maximum_temperature,Evaporation,Speed_of_maximum_wind_gust,9am_Temperature,9am_wind_speed,9am_MSL_pressure,3pm_Temperature,3pm_wind_speed,3pm_MSL_pressure,Rain_today,Rain_Tomorrow,Rainfall_Tomorrow,Month
2/23/2019,12.9,17.4,4,37,14.6,22,1029,16.1,22,1029.9,No,No,0,February
2/24/2019,7.3,26.1,3.8,37,13,24,1030.7,22.7,24,1027.8,No,No,0,February
2/25/2019,12.8,32.2,9.6,67,19.1,17,1023.5,31,17,1018,No,Yes,1.2,February
2/26/2019,13,18.5,7.2,41,13.2,26,1021.4,16.8,26,1021.3,Yes,No,0,February
2/27/2019,7.3,21.1,4.2,31,11.2,20,1027.3,20,20,1024.8,No,No,0,February
2/28/2019,11,24.5,3.8,28,16.2,19,1024.3,21.9,19,1021.3,No,No,0,February
3/1/2019,12,29.9,4.4,35,18.9,19,1020.8,29.4,19,1017.6,No,No,0,March
3/2/2019,18.9,38.1,7,56,26.1,31,1018,37.5,31,1014.5,No,No,0,March
3/3/2019,16.6,28.7,14,50,17.9,7,1016.2,20.2,7,1012.6,No,No,0.8,March
3/4/2019,10.6,26.6,2,35,15.5,26,1017,22.6,26,1014.5,Yes,No,0,March
3/5/2019,11.5,23,5.4,52,14.5,20,1011.1,21.7,20,1004.2,No,Yes,1.6,March
3/6/2019,9.8,15.8,4.6,61,13.7,7,1005.6,9.9,7,1009.6,Yes,Yes,2.8,March
3/7/2019,7.2,20.9,3.4,46,11.4,24,1019.9,18.5,24,1017.4,Yes,No,0,March
3/8/2019,11.4,23.9,7.6,52,17,19,1012.8,22.4,19,1013.4,No,Yes,2.8,March
3/9/2019,10.9,16.9,4.2,24,12,13,1022.2,15.9,13,1020.8,Yes,Yes,1.6,March
3/10/2019,11.3,24,1.6,54,15.9,28,1011.8,22.8,28,1004.8,Yes,No,0.2,March
3/11/2019,8.7,22,4.2,39,12.9,22,1007.8,20.5,22,1003.8,Yes,No,0.4,March
3/12/2019,12.7,17.9,8,57,13.5,28,1001.5,16.1,28,1004.5,Yes,No,0.6,March
3/13/2019,5.8,16.6,3.8,33,9.7,17,1018.9,15.6,17,1018.2,Yes,No,0,March
3/14/2019,7,22.4,4.4,31,11.2,24,1016.9,19.5,24,1013.1,No,No,0,March
3/15/2019,11.2,20.1,5.2,37,14.3,24,1019.6,19.1,24,1020.9,No,No,0,March
3/16/2019,11,22.9,5,35,13.8,26,1026.3,22.4,26,1024.6,No,No,0,March
3/17/2019,9.4,22.4,3.4,41,13.3,28,1024.8,20.9,28,1022,No,No,0,March
3/18/2019,11.7,21.5,3.8,33,15.5,24,1024.3,20.1,24,1021.6,No,No,0,March
3/19/2019,10.8,21.4,6.6,28,13.1,20,1021.4,19.7,20,1019.4,No,No,0.6,March
3/20/2019,13,23.5,2.6,26,17.5,17,1019.1,21.3,17,1017.3,Yes,No,0,March
3/21/2019,14.7,18.4,2,33,17.1,22,1020.1,17.8,22,1020.4,No,No,0,March
3/23/2019,14.9,23.9,2.6,35,17.9,15,1011.3,19.9,15,1005.7,No,No,0.4,March
3/24/2019,14.9,25,3.2,43,18.1,13,1007.1,22.2,13,1002.1,Yes,No,0.2,March
3/25/2019,13.5,15.1,7.4,81,14.5,52,990.3,12.3,52,992.6,Yes,No,0.2,March
3/26/2019,8.4,17.9,5.2,70,13.7,33,1003,16.9,33,1009.7,Yes,No,0,March
3/27/2019,8.1,21.4,4.6,31,11.6,22,1021.7,18.7,22,1019.1,No,No,0,March
3/28/2019,9.2,24.6,4,35,13.9,13,1015.3,24.3,13,1010,No,No,0,March
3/29/2019,10.3,27.8,4,61,16.6,26,1003.8,23.3,26,999.3,No,Yes,4,March
3/30/2019,11,17.9,8.8,43,11.6,30,1005.1,16.7,30,1003.3,Yes,No,0.4,March
3/31/2019,3.4,16,3.8,54,11.9,33,1006.6,14,33,1011.3,Yes,No,0,March
4/1/2019,6.4,17.3,2.8,28,10.4,17,1024.2,16.2,17,1023.6,No,No,0,April
4/2/2019,5.6,19.7,3.4,31,9.3,17,1026.4,17.5,17,1021.2,No,No,0,April
4/3/2019,9.2,19.4,4.6,57,18.6,35,1016,17,35,1023.8,No,No,0,April
4/4/2019,4.5,18.2,3.4,33,6.8,17,1036.8,16.5,17,1034.4,No,No,0,April
4/5/2019,6.8,21.7,4,54,11.9,28,1029,20.5,28,1021.5,No,Yes,4.2,April
4/6/2019,11.7,20.2,4.2,46,16,28,1012.2,19.2,28,1013.9,Yes,No,0,April
4/7/2019,8.6,21.8,6,78,14.3,28,1011.3,21.1,28,1003.8,No,Yes,2.6,April
4/8/2019,8.2,18.7,6,59,13.2,33,1007.5,17.4,33,1002.1,Yes,No,0.2,April
4/9/2019,6.9,15.5,3.6,43,10.5,17,1010.9,13.8,17,1013,Yes,No,0,April
4/10/2019,7.5,18,3.2,35,12.9,15,1023.4,15.9,15,1022.2,No,No,0,April
4/11/2019,6.6,18.2,4.2,31,12,17,1025,17.1,17,1023.4,No,No,0,April
4/12/2019,6.5,21.9,2.8,35,12,15,1023.1,21.3,15,1017.2,No,No,0.8,April
4/13/2019,8.2,17.7,3,39,13.9,28,1024.5,15.2,28,1025.8,Yes,Yes,8.2,April
4/14/2019,10.5,18.3,3.6,26,13,15,1031.2,17.3,15,1027.9,Yes,No,0,April
4/15/2019,8.1,21,2.8,41,14.7,31,1027.7,19.1,31,1022.1,No,No,0,April
4/16/2019,11.7,27.2,3.8,39,16.6,17,1022.4,26.6,17,1018.8,No,No,0,April
4/17/2019,16.5,29.1,4.6,54,22.2,28,1017,26.6,28,1012.8,No,Yes,8.2,April
4/18/2019,10.7,16.8,6.8,46,11.6,26,1020.8,14.9,26,1024,Yes,No,0,April
4/19/2019,5.4,15.6,2.6,26,8.7,19,1032.8,14.8,19,1029.5,No,No,0,April
4/20/2019,5.6,23.7,2.4,33,12,20,1026.5,23.4,20,1021.6,No,No,0,April
4/21/2019,11.5,26.3,3.8,37,17.2,11,1018.4,24.4,11,1015,No,Yes,2.8,April
4/22/2019,12.9,19.2,3.8,39,14.3,22,1022.2,17.8,22,1023,Yes,No,0,April
4/23/2019,7.3,19.9,4,33,12.1,15,1026.7,18.7,15,1024,No,No,0,April
4/24/2019,9.4,19.7,4,52,13.2,13,1021.4,18.1,13,1015,No,No,0,April
4/25/2019,12.6,19,3.6,72,15.5,39,1011.3,18.4,39,1006.3,No,No,0,April
4/26/2019,7.7,12.5,5.4,83,10.8,28,1002.4,10.9,28,1005.1,No,No,0,April
4/27/2019,6.6,16.9,3.6,94,11.8,35,1013.6,15.6,35,1007.7,No,No,0,April
4/28/2019,11.7,16.3,5.8,74,15.1,26,1012.2,14.9,26,1016.3,No,No,0,April
4/29/2019,7.8,18.9,3.8,33,12.7,15,1022.3,18.4,15,1018.7,No,No,0,April
4/30/2019,7.3,21.9,2.8,31,12.6,17,1014.8,21.3,17,1011,No,No,0,April
5/1/2019,8.9,18,3.2,31,11.3,13,1017.3,16.9,13,1017.1,No,No,0,May
5/2/2019,7.3,21.5,1,46,11.6,24,1018.9,21.1,24,1015.4,No,Yes,2.6,May
5/3/2019,11.5,20.2,1,57,15.7,30,1009,16.8,30,1007.5,Yes,No,0,May
5/4/2019,8.1,15.5,3.8,41,11.5,22,1013.8,15.3,22,1017.7,No,Yes,1.2,May
5/5/2019,10.2,13.5,1.4,30,11.2,15,1026.9,12.5,15,1025.9,Yes,No,0,May
5/6/2019,10.7,13.5,2.8,35,11.4,24,1023.9,12,24,1020.3,No,No,0,May
5/7/2019,4.4,16.1,1.4,28,7.2,13,1011.8,14.1,13,1006.6,No,No,0,May
5/8/2019,5.6,16.5,1.6,28,8.7,13,1005.6,16.2,13,1004.8,No,No,0.4,May
5/9/2019,8.7,15.5,1.4,41,10.2,17,1009.6,15.3,17,1005,Yes,Yes,1.6,May
5/10/2019,9.7,12.9,1.8,31,11.2,17,1016.2,11.4,17,1016.6,Yes,No,0.2,May
5/11/2019,2.7,16.6,3,39,10.6,15,1017.1,15.6,15,1016.9,Yes,No,0,May
5/12/2019,7.9,17.5,1.6,41,13.4,26,1019.8,16,26,1020.3,No,No,0,May
5/13/2019,7.6,19.9,2.4,83,15.5,54,1016.7,18.3,54,1011.9,No,Yes,1.6,May
5/14/2019,9.6,16,4.8,59,11.9,28,1020,15.1,28,1019.5,Yes,No,0,May
5/15/2019,10.9,19.3,3.4,41,14.4,22,1026,18.3,22,1025.5,No,No,0,May
5/16/2019,6.8,17.6,2.8,30,9.8,7,1026.5,17.1,7,1023,No,No,0,May
5/17/2019,6.9,18.2,1.8,46,11.6,20,1023.8,16,20,1022.7,No,No,0,May
5/18/2019,8.3,18.9,1.8,31,14.6,17,1028.2,15.1,17,1027.5,No,No,0,May
5/19/2019,5,15.9,3,24,7.6,11,1029.7,13,11,1026.3,No,No,0,May
5/20/2019,4.4,15.5,1.6,31,9.4,17,1021.2,12.3,17,1016.2,No,Yes,1,May
5/21/2019,6.9,18.7,0.2,44,13.9,26,1014.4,18,26,1015.1,Yes,No,0,May
5/22/2019,3.9,17.9,2.4,39,10.8,19,1023,17.3,19,1021.9,No,No,0,May
5/23/2019,7.8,17.8,2.6,41,12.7,13,1021.7,16.5,13,1016.8,No,No,0,May
5/24/2019,5.2,19.1,3.2,37,11.2,20,1013.4,15.1,20,1008.6,No,No,0,May
5/25/2019,8.8,17,0.8,59,15.4,28,1004.4,15.3,28,1002.2,No,No,0,May
5/26/2019,9.4,14.9,3.8,54,11.3,26,1002.2,12.5,26,997.7,No,No,0.2,May
5/27/2019,5.6,13,2.6,46,8.2,13,995.4,12.5,13,996.7,Yes,No,0.2,May
5/28/2019,5.3,12,2.6,54,8.9,20,994.5,7.9,20,990.3,Yes,Yes,1,May
5/29/2019,2.4,10.2,2,74,5.9,28,991.6,8.9,28,994.8,Yes,Yes,6.8,May
5/30/2019,4.6,13.4,1.4,57,7.4,31,1011.1,12.2,31,1008.7,Yes,No,0.2,May
5/31/2019,7.4,13.8,1.4,35,11.3,13,1020,13.5,13,1022.9,Yes,No,0,May
6/1/2019,2.1,16.1,0.8,30,10.2,17,1029.7,15.7,17,1027.1,No,No,0,June
6/2/2019,5.2,10.5,1.6,43,7.8,6,1022.8,10.2,6,1020.8,No,Yes,5.8,June
6/3/2019,6.8,10.2,1.2,50,7.6,22,1025.2,8.5,22,1024.7,Yes,Yes,1.2,June
6/4/2019,4.5,11.3,0.6,41,6.8,15,1027.1,10.8,15,1026.5,Yes,No,0,June
6/5/2019,1.9,13.7,1.2,72,9.8,43,1024.9,11.7,43,1018.9,No,No,0,June
6/7/2019,8.7,16.6,2.4,50,12.4,20,1029,15.5,20,1026.9,No,No,0,June
6/8/2019,4.8,13.4,2.6,37,6,17,1025.2,13.2,17,1020.3,No,No,0,June
6/9/2019,5.8,14.1,1.2,30,7.8,13,1017.2,13.6,13,1014.2,No,Yes,1,June
6/10/2019,7.7,15.6,0.8,57,11.3,13,1006.1,13.9,13,997.9,Yes,No,0.8,June
6/11/2019,9.1,18.3,2.2,48,13.6,13,1015.2,17.1,13,1016.1,Yes,No,0,June
6/12/2019,6.1,15.2,1.2,41,8.7,20,1011.1,13.9,20,1002.6,No,Yes,2.4,June
6/13/2019,3.7,15.3,0.4,48,8.9,26,1006.8,13.2,26,1003.5,Yes,No,0,June
6/14/2019,7,13.8,2.6,50,9.2,22,1009.7,12,22,1007.8,No,No,0.2,June
6/15/2019,4.5,13.1,1.8,37,7,17,1018,12.7,17,1018.1,Yes,No,0,June
6/16/2019,1.2,12.7,1.8,28,3.8,9,1022.1,12.5,9,1020.1,No,No,0,June
6/17/2019,3.8,14.2,0.8,30,5.8,11,1020,13.4,11,1016.6,No,No,0,June
6/18/2019,5.7,15.3,1,50,12.5,28,1009.5,13.4,28,1007.6,No,Yes,8,June
6/19/2019,6.9,10.3,3.2,50,8,17,1020.7,9.8,17,1022.1,Yes,No,0.2,June
6/20/2019,3.4,11.8,1,43,6.4,19,1023.6,7.5,19,1022.3,Yes,Yes,4,June
6/21/2019,5,10.9,1.2,39,8.1,13,1026,9.8,13,1026.7,Yes,Yes,1,June
6/22/2019,5.6,11.1,0.4,24,6.2,7,1030.2,9.9,7,1029.4,Yes,No,0.4,June
6/23/2019,1.5,12.2,0.4,24,3.4,9,1032.1,10.3,9,1031,Yes,No,0,June
6/25/2019,0.9,11.7,0.6,30,4.1,11,1033.4,11.1,11,1031.5,No,No,0,June
6/26/2019,2.3,14.8,1.4,28,6.9,13,1034.8,14.3,13,1031.8,No,No,0,June
6/27/2019,3.4,13.8,0.6,35,7.4,6,1030.9,13.2,6,1026.9,No,No,0,June
6/28/2019,7.3,16.7,1,37,11.8,24,1022.3,16.4,24,1018.1,No,No,0,June
6/30/2019,10.2,15.1,2.2,70,11.6,31,997.9,12.7,31,1002.5,No,No,0.2,June
7/1/2019,10,17.9,3.4,74,15,33,1007.5,17.7,33,1003.4,Yes,Yes,2.6,July
7/2/2019,8,13,5.4,67,10.1,13,1006.5,9.4,13,1009,Yes,Yes,2.6,July
7/3/2019,3.5,13.5,2.6,26,8.1,9,1028.1,12.4,9,1031,Yes,No,0,July
7/4/2019,3.2,13.4,0.8,19,4.7,13,1041.1,11.7,13,1040.2,No,No,0,July
7/5/2019,2.6,13,0.2,24,4.5,9,1041.3,12.4,9,1037.2,No,No,0.2,July
7/6/2019,1.4,15.6,0.8,20,4.9,6,1035,14.5,6,1032.3,Yes,No,0.2,July
7/7/2019,3.6,13.1,1.2,19,5.9,6,1031.6,11.8,6,1027.5,Yes,Yes,1,July
7/8/2019,3.4,14.6,1,35,7.3,19,1018.9,13.5,19,1015.1,Yes,No,0,July
7/9/2019,5.4,14.7,1.2,46,8.2,24,1012.1,13,24,1008.4,No,No,0,July
7/10/2019,7.6,16.3,1.8,56,9.3,24,1003.3,15.3,24,995,No,Yes,1,July
7/11/2019,7.8,13.8,2.8,54,9.5,22,989.3,12.5,22,990,Yes,Yes,4,July
7/12/2019,6.6,10.1,2.4,56,8.5,37,990.9,8.3,37,990.5,Yes,Yes,1.4,July
7/13/2019,4.5,9.1,1.8,52,6.1,30,1000,8.9,30,1005.7,Yes,Yes,4.8,July
7/14/2019,3.5,11.4,1.2,56,8.3,33,1000.1,6.9,33,997.7,Yes,Yes,2,July
7/15/2019,4.3,14.7,1,56,9.3,37,1010.7,14.4,37,1005.2,Yes,No,0.4,July
7/16/2019,9.2,14.9,2.8,50,12.9,11,1009.1,14.6,11,1009.3,Yes,No,0,July
7/17/2019,8.9,13.2,1.6,56,11.1,22,1001.9,11.2,22,997.2,No,Yes,1.6,July
7/18/2019,4.1,11,1.2,57,8,20,1010,10.5,20,1006.6,Yes,No,0,July
7/19/2019,6.3,14.8,1.4,63,9.8,26,1010.5,13.8,26,1012,No,No,0,July
7/20/2019,4.6,15.8,3,37,6.7,22,1014.8,15.4,22,1010.6,No,No,0,July
7/21/2019,6.7,15.9,1.8,65,12.6,43,1000.5,13.5,43,1000.8,No,No,0,July
7/22/2019,6.1,16.8,3.4,59,11.8,31,1006.1,15.9,31,1002,No,No,0,July
7/23/2019,8.7,13.2,3.2,59,9.1,33,1001.1,12.3,33,999.4,No,No,0,July
7/24/2019,5,14.2,3.2,41,7.4,20,1011.1,13.3,20,1010.2,No,No,0,July
7/25/2019,7.2,16.5,2.2,43,12.1,19,1015.6,16.1,19,1013.6,No,Yes,1,July
7/26/2019,9.4,12.7,1.8,48,10,22,1014.8,11.8,22,1017.2,Yes,No,0,July
7/27/2019,0.9,12.3,1.4,39,5.6,24,1020,12.1,24,1016.5,No,No,0,July
7/28/2019,2.2,15.3,1.4,43,7.8,26,1020.5,14.9,26,1015.9,No,No,0.4,July
7/29/2019,7.3,10.9,2,48,8.8,26,1014.6,9.7,26,1017.6,Yes,No,0.4,July
7/30/2019,2,11.7,1.2,33,4.3,19,1028.2,11,19,1027.9,Yes,No,0,July
7/31/2019,2.2,13.5,1.8,33,5.4,11,1030.4,13.1,11,1027.3,No,No,0,July
8/1/2019,4.8,14.1,1.2,59,12.1,20,1021.3,12.7,20,1024.7,No,No,0.2,August
8/2/2019,0.8,13.9,1.6,85,8.9,24,1026.6,12.5,24,1021,Yes,Yes,3.4,August
8/3/2019,6.8,12.2,3.4,59,8.7,30,1021.6,10.9,30,1022.6,Yes,No,0,August
8/4/2019,1.9,11.2,2.2,28,5.1,17,1027.9,10.7,17,1025.6,No,No,0.2,August
8/5/2019,2.1,14.4,1.2,31,5,13,1021.6,13.8,13,1017.2,Yes,No,0,August
8/6/2019,5,17,1.6,52,10.3,30,1009.9,15.3,30,1005.4,No,No,0,August
8/7/2019,7.1,13.1,2.6,54,9.9,22,1003.9,12.2,22,1001.9,No,No,0,August
8/8/2019,0.4,8.4,2.8,22,3.1,6,997.5,8.2,6,991.9,No,No,0,August
8/9/2019,1,10.8,0.6,57,4,26,989.1,9.2,26,988.6,No,Yes,21.4,August
8/10/2019,4,10.2,0,61,8,33,992,9,33,993.1,Yes,Yes,8.4,August
8/11/2019,6.8,11.6,0.8,50,10,30,1005.5,9.5,30,1010.4,Yes,Yes,2,August
8/12/2019,1.8,13.8,0.6,54,9.7,22,1013.2,13.1,22,1012.9,Yes,No,0,August
8/13/2019,1.2,15.1,2,35,8.3,20,1021.9,11.9,20,1021.9,No,No,0,August
8/14/2019,1.7,15.4,1.2,31,7.2,17,1023.7,15.1,17,1019.7,No,No,0.2,August
8/15/2019,7.1,18,2.8,56,10.4,26,1012.7,16.6,26,1008.3,Yes,No,0.8,August
8/16/2019,7.8,11.4,3,26,8.8,17,1011.1,10.6,17,1012.4,Yes,No,0,August
8/17/2019,5.4,14.8,0.4,35,8.2,19,1021.2,14.1,19,1017.4,No,No,0,August
8/18/2019,7.8,17.7,3.2,61,12.3,33,1005.6,17,33,997.4,No,No,0,August
8/19/2019,4.6,14,2.8,50,8.3,24,1004.2,9.2,24,1005.7,No,No,0,August
8/20/2019,6.2,16.6,3,80,13.1,54,1004.7,14,54,997.8,No,Yes,5.4,August
8/21/2019,5.9,11.4,4,78,8.4,37,1001.8,8.6,37,1002.4,Yes,Yes,18.6,August
8/22/2019,4.6,11.7,1.4,72,7.3,19,1014.5,10.9,19,1018,Yes,No,0,August
8/23/2019,2.3,15.8,2.6,44,7.9,28,1018.1,15.5,28,1011.9,No,No,0,August
8/24/2019,7.8,18.1,4,63,13.1,39,1005.1,16.9,39,1000,No,Yes,14,August
8/25/2019,4,11.5,3.2,50,8.7,19,1014.4,10.9,19,1015,Yes,No,0,August
8/26/2019,5.8,15.3,1.6,46,9.7,28,1020,14.6,28,1017.3,No,No,0,August
8/27/2019,7.5,15.5,3,56,11.4,20,1015.9,14.6,20,1012.6,No,No,0.2,August
8/28/2019,8.7,9.6,2.8,54,8.7,22,1009,9.3,22,1014.1,Yes,Yes,2.8,August
8/29/2019,3.2,13.6,2.6,26,7.9,9,1028.2,12.8,9,1027.8,Yes,No,0,August
8/30/2019,2.7,15.6,1.8,33,6,19,1029,12.9,19,1024.5,No,No,0,August
8/31/2019,4.3,18.8,2.2,43,11.5,28,1020.3,16.7,28,1014.8,No,No,0,August
9/1/2019,8.3,15.2,4,39,11.8,15,1016,14.6,15,1012.1,No,No,0,September
9/2/2019,6.2,18.3,1.2,30,10.7,15,1018.4,16.6,15,1012.7,No,No,0,September
9/3/2019,8.5,20.1,2.6,41,14.1,19,1010.7,19.8,19,1008.7,No,No,0,September
9/4/2019,5.9,16.1,4,56,12.4,24,1008.2,15.2,24,1006.6,No,No,0,September
9/5/2019,2.9,13.9,3,31,9.1,22,1015.6,12.1,22,1013.7,No,No,0,September
9/6/2019,2.3,11.6,2,30,6.3,13,1006.6,10.5,13,999.9,No,Yes,6.2,September
9/7/2019,6.3,10.2,0.8,48,9.9,28,1004.4,9.5,28,1006.8,Yes,No,0.6,September
9/8/2019,4.3,14.4,1,28,6.6,9,1010.1,13.3,9,1004.8,Yes,Yes,3,September
9/9/2019,6.3,12.5,2.8,59,7.2,22,1016.5,10.7,22,1019.1,Yes,No,0.4,September
9/10/2019,4.6,16.9,2.4,46,12.4,28,1022.1,16.8,28,1021.1,Yes,No,0,September
9/11/2019,10,21.3,3.6,59,13.6,43,1021.3,19.6,43,1015.8,No,No,0.6,September
9/12/2019,12.2,18.2,6.8,106,14.8,28,1006.3,13.7,28,1010.3,Yes,No,0.2,September
9/13/2019,4.2,15.6,5,56,10.8,26,1016.7,13.9,26,1008.9,Yes,Yes,2,September
9/14/2019,6.3,17.4,2.4,52,13,24,1018.9,17.2,24,1015.2,Yes,No,0,September
9/15/2019,12.3,17.8,4.4,52,14.9,13,1009.9,16.6,13,1007.1,No,Yes,1.4,September
9/16/2019,5.2,11.1,5.8,61,8.3,22,1013.6,9.7,22,1018,Yes,No,0,September
9/17/2019,2.5,14.5,4,41,8.7,24,1026.8,14,24,1024.4,No,No,0.2,September
9/18/2019,2.7,17.2,4,31,10,17,1028.1,15,17,1024.1,Yes,No,0,September
9/19/2019,4.2,21.6,3.6,52,12,24,1024.5,20.9,24,1018.4,No,No,0,September
9/20/2019,11,26.5,4.4,50,18.9,28,1017.4,24.6,28,1013.1,No,No,0,September
9/21/2019,11.2,21.4,5.4,67,14.7,31,1007.5,19.3,31,1001,No,No,0,September
9/22/2019,5.7,15,3.6,52,10.9,33,1015.5,11.7,33,1016.2,No,No,0,September
9/23/2019,5,14.2,3.6,33,10.6,15,1018.9,11.6,15,1017.9,No,No,0,September
9/24/2019,8.3,16.5,2.8,46,12.2,31,1017.9,13.8,31,1018.3,No,No,0.2,September
9/25/2019,5.3,13.4,2.2,31,10.6,13,1025.8,12.2,13,1023.5,Yes,No,0,September
9/26/2019,8.4,19.4,4,43,13.3,13,1022.5,18.5,13,1017.5,No,No,0,September
9/27/2019,9.2,19.5,3.8,63,17.9,17,1004.3,15.8,17,1006.3,No,No,0.2,September
9/28/2019,2.7,16.8,4,48,11.3,19,1016.6,15.1,19,1014.2,Yes,No,0.6,September
9/29/2019,8.9,15,3.8,50,10.8,24,1012.9,12.6,24,1014.2,Yes,No,0,September
9/30/2019,6.7,14.8,3.6,41,10.3,26,1025.2,12.4,26,1025,No,No,0.2,September
10/1/2019,1.9,16.1,3.4,26,10.1,17,1027.6,15.4,17,1025,Yes,No,0,October
10/2/2019,3.9,19.1,3.2,33,12.6,26,1023.8,16.4,26,1020.7,No,No,0,October
10/3/2019,8.2,28.9,3.8,50,18.8,31,1018.5,27.2,31,1010.7,No,No,0,October
10/4/2019,10.7,15.2,6.2,48,14.3,26,1017.2,12.3,26,1019,No,No,0,October
10/5/2019,2.8,16.2,4,39,9.6,19,1025.6,15.1,19,1019.1,No,No,0,October
10/6/2019,9.4,19.8,4.4,61,12.4,17,1003.8,16.2,17,996.8,No,Yes,10.2,October
10/7/2019,7.8,16.2,4.6,39,11.6,13,1008.5,14.8,13,1006.7,Yes,No,0.2,October
10/8/2019,8.5,13.1,2.6,56,10,28,1014.6,11.6,28,1017.5,Yes,No,0,October
10/9/2019,6.2,14.3,4,37,11.5,20,1024.7,13.6,20,1023.9,No,No,0,October
10/10/2019,6.9,14.3,2.6,37,11.4,28,1026.2,12.3,28,1025.4,No,No,0,October
10/11/2019,8.3,14,3.4,33,10.3,17,1027.3,12.2,17,1025.6,No,No,0,October
10/12/2019,4.4,14.3,2.8,33,8.7,20,1026.4,12.6,20,1023.5,No,No,0.2,October
10/13/2019,2.3,16.6,3.6,31,8.7,24,1022.5,15.6,24,1018.2,Yes,No,0,October
10/14/2019,7.6,24.1,4,41,13.6,13,1012,22,13,1006.9,No,Yes,1.2,October
10/15/2019,7.7,13.3,3.4,28,11.9,13,1012,11.6,13,1010.6,Yes,Yes,9.4,October
10/16/2019,4.1,16.8,2,35,8.5,22,1012.2,13.9,22,1007.6,Yes,Yes,1.4,October
10/17/2019,5.5,15.9,2.2,35,9.4,28,1007.1,14.6,28,1005.7,Yes,No,0,October
10/18/2019,6.9,19.8,4,61,13.2,26,1005.2,15,26,997.2,No,Yes,2,October
10/19/2019,6,14.7,5.6,56,9.5,30,1003.4,13.7,30,1003.7,Yes,No,0.2,October
10/20/2019,8.2,19.5,3.4,57,14.4,28,1010.3,18.7,28,1013,Yes,No,0,October
10/21/2019,10.9,21.1,4.4,43,14.6,19,1022.2,18.7,19,1020.5,No,No,0,October
10/22/2019,4.3,19.7,6.8,41,11.7,9,1025.4,18.8,9,1021.1,No,No,0,October
10/23/2019,9.2,23,4.8,48,16,31,1017.7,16.6,31,1016.6,No,No,0,October
10/24/2019,8.5,28.7,4,48,15.2,15,1014.3,23.4,15,1009.2,No,No,0,October
10/25/2019,14.8,28,11,87,24.7,43,991.9,19.3,43,995.3,No,No,0,October
10/26/2019,8.7,15.3,9.6,59,13.1,28,993.3,12.4,28,994.2,No,Yes,1.2,October
10/27/2019,4.7,17.2,3,48,12.1,20,1007.3,13.2,20,1008.9,Yes,No,0.6,October
10/28/2019,4.8,20.6,3.6,54,12.8,35,1018.1,18.8,35,1015,Yes,No,0,October
10/29/2019,11.5,28,7,61,18,41,1010.5,26.8,41,1006.2,No,No,0,October
10/30/2019,9.8,18.6,8,37,11.5,17,1021,16.9,17,1017.2,No,No,0,October
