Date,Minimum_temperature,Maximum_temperature,Evaporation,Sunshine,Speed_of_maximum_wind_gust,Time_of_maximum_wind_gust,9am_Temperature,9am_relative_humidity,9am_cloud_amount,9am_wind_speed,9am_MSL_pressure,3pm_Temperature,3pm_relative_humidity,3pm_cloud_amount,3pm_wind_speed,3pm_MSL_pressure,Rainfall,Rain_today,Rain_Tomorrow,Rainfall_Tomorrow,Month
3/10/2019,11.3,24,1.6,4,54,48660,15.9,83,7,28,1011.8,22.8,40,7,28,1004.8,1.6,Yes,No,0.2,March
3/11/2019,8.7,22,4.2,9.9,39,42480,12.9,64,1,22,1007.8,20.5,28,1,22,1003.8,0.2,Yes,No,0.4,March
3/12/2019,12.7,17.9,8,8.6,57,26400,13.5,42,7,28,1001.5,16.1,31,6,28,1004.5,0.4,Yes,No,0.6,March
3/13/2019,5.8,16.6,3.8,6.9,33,57000,9.7,64,1,17,1018.9,15.6,37,7,17,1018.2,0.6,Yes,No,0,March
3/14/2019,7,22.4,4.4,9,31,54060,11.2,62,6,24,1016.9,19.5,34,4,24,1013.1,0,No,No,0,March
3/15/2019,11.2,20.1,5.2,9.6,37,56280,14.3,66,5,24,1019.6,19.1,51,4,24,1020.9,0,No,No,0,March
3/16/2019,11,22.9,5,12.3,35,50700,13.8,77,1,26,1026.3,22.4,49,2,26,1024.6,0,No,No,0,March
3/17/2019,9.4,22.4,3.4,10.1,41,54540,13.3,79,4,28,1024.8,20.9,53,2,28,1022,0,No,No,0,March
3/18/2019,11.7,21.5,3.8,4.6,33,50520,15.5,83,7,24,1024.3,20.1,60,6,24,1021.6,0,No,No,0,March
3/19/2019,10.8,21.4,6.6,5.7,28,52200,13.1,85,6,20,1021.4,19.7,67,7,20,1019.4,0,No,No,0.6,March
3/20/2019,13,23.5,2.6,4.6,26,52560,17.5,91,7,17,1019.1,21.3,67,4,17,1017.3,0.6,Yes,No,0,March
3/21/2019,14.7,18.4,2,0,33,59820,17.1,89,7,22,1020.1,17.8,77,7,22,1020.4,0,No,No,0,March
3/23/2019,14.9,23.9,2.6,3.7,35,41880,17.9,73,6,15,1011.3,19.9,78,8,15,1005.7,0,No,No,0.4,March
3/24/2019,14.9,25,3.2,10,43,59460,18.1,62,1,13,1007.1,22.2,56,6,13,1002.1,0.4,Yes,No,0.2,March
3/25/2019,13.5,15.1,7.4,9.2,81,22020,14.5,40,2,52,990.3,12.3,44,3,52,992.6,0.2,Yes,No,0.2,March
3/26/2019,8.4,17.9,5.2,6.8,70,12240,13.7,45,7,33,1003,16.9,35,5,33,1009.7,0.2,Yes,No,0,March
3/27/2019,8.1,21.4,4.6,10.7,31,54540,11.6,57,1,22,1021.7,18.7,37,1,22,1019.1,0,No,No,0,March
3/28/2019,9.2,24.6,4,10.7,35,85140,13.9,67,1,13,1015.3,24.3,26,1,13,1010,0,No,No,0,March
3/29/2019,10.3,27.8,4,6.4,61,58320,16.6,54,1,26,1003.8,23.3,34,7,26,999.3,0,No,Yes,4,March
3/30/2019,11,17.9,8.8,7.1,43,50580,11.6,73,7,30,1005.1,16.7,33,6,30,1003.3,4,Yes,No,0.4,March
3/31/2019,3.4,16,3.8,4.1,54,42420,11.9,77,6,33,1006.6,14,42,6,33,1011.3,0.4,Yes,No,0,March
4/1/2019,6.4,17.3,2.8,9,28,55620,10.4,66,6,17,1024.2,16.2,43,2,17,1023.6,0,No,No,0,April
4/2/2019,5.6,19.7,3.4,10.8,31,48060,9.3,79,7,17,1026.4,17.5,48,7,17,1021.2,0,No,No,0,April
4/3/2019,9.2,19.4,4.6,5.4,57,40800,18.6,44,7,35,1016,17,28,3,35,1023.8,0,No,No,0,April
4/4/2019,4.5,18.2,3.4,9.8,33,60960,6.8,70,1,17,1036.8,16.5,41,1,17,1034.4,0,No,No,0,April
4/5/2019,6.8,21.7,4,8.6,54,44700,11.9,62,1,28,1029,20.5,46,7,28,1021.5,0,No,Yes,4.2,April
4/6/2019,11.7,20.2,4.2,7.8,46,40320,16,57,3,28,1012.2,19.2,36,3,28,1013.9,4.2,Yes,No,0,April
4/7/2019,8.6,21.8,6,8.4,78,73920,14.3,57,5,28,1011.3,21.1,36,7,28,1003.8,0,No,Yes,2.6,April
4/8/2019,8.2,18.7,6,6.9,59,52320,13.2,45,1,33,1007.5,17.4,36,7,33,1002.1,2.6,Yes,No,0.2,April
4/9/2019,6.9,15.5,3.6,7.8,43,64920,10.5,51,6,17,1010.9,13.8,35,7,17,1013,0.2,Yes,No,0,April
4/10/2019,7.5,18,3.2,9.8,35,59880,12.9,56,6,15,1023.4,15.9,45,6,15,1022.2,0,No,No,0,April
4/11/2019,6.6,18.2,4.2,9.5,31,1500,12,61,7,17,1025,17.1,46,1,17,1023.4,0,No,No,0,April
4/12/2019,6.5,21.9,2.8,10.5,35,61560,12,66,0,15,1023.1,21.3,33,1,15,1017.2,0,No,No,0.8,April
4/13/2019,8.2,17.7,3,6.2,39,51060,13.9,67,6,28,1024.5,15.2,60,1,28,1025.8,0.8,Yes,Yes,8.2,April
4/14/2019,10.5,18.3,3.6,7.8,26,59100,13,70,7,15,1031.2,17.3,45,1,15,1027.9,8.2,Yes,No,0,April
4/15/2019,8.1,21,2.8,8.7,41,52620,14.7,66,1,31,1027.7,19.1,51,1,31,1022.1,0,No,No,0,April
4/16/2019,11.7,27.2,3.8,8.8,39,70260,16.6,67,1,17,1022.4,26.6,31,1,17,1018.8,0,No,No,0,April
4/17/2019,16.5,29.1,4.6,6.2,54,72360,22.2,40,1,28,1017,26.6,41.86206897,7,28,1012.8,0,No,Yes,8.2,April
4/18/2019,10.7,16.8,6.8,6.6,46,22740,11.6,55,6,26,1020.8,14.9,38,5,26,1024,8.2,Yes,No,0,April
4/19/2019,5.4,15.6,2.6,9.7,26,50280,8.7,74,1,19,1032.8,14.8,48,1,19,1029.5,0,No,No,0,April
4/20/2019,5.6,23.7,2.4,9,33,57600,12,77,6,20,1026.5,23.4,41,1,20,1021.6,0,No,No,0,April
4/21/2019,11.5,26.3,3.8,7.8,37,59280,17.2,75,7,11,1018.4,24.4,49,7,11,1015,0,No,Yes,2.8,April
4/22/2019,12.9,19.2,3.8,8.9,39,47880,14.3,58,3,22,1022.2,17.8,36,3,22,1023,2.8,Yes,No,0,April
4/23/2019,7.3,19.9,4,8.8,33,55920,12.1,64,1,15,1026.7,18.7,46,6,15,1024,0,No,No,0,April
4/24/2019,9.4,19.7,4,6.1,52,65640,13.2,75,7,13,1021.4,18.1,44,7,13,1015,0,No,No,0,April
4/25/2019,12.6,19,3.6,6.4,72,6480,15.5,48,6,39,1011.3,18.4,39,7,39,1006.3,0,No,No,0,April
4/26/2019,7.7,12.5,5.4,8.2,83,10560,10.8,47,5,28,1002.4,10.9,50,3,28,1005.1,0,No,No,0,April
4/27/2019,6.6,16.9,3.6,4.8,94,63600,11.8,51,7,35,1013.6,15.6,46,7,35,1007.7,0,No,No,0,April
4/28/2019,11.7,16.3,5.8,8.1,74,40380,15.1,42,7,26,1012.2,14.9,37,3,26,1016.3,0,No,No,0,April
4/29/2019,7.8,18.9,3.8,8.8,33,33420,12.7,55,7,15,1022.3,18.4,45,7,15,1018.7,0,No,No,0,April
4/30/2019,7.3,21.9,2.8,8.3,31,29640,12.6,64,7,17,1014.8,21.3,35,6,17,1011,0,No,No,0,April
5/1/2019,8.9,18,3.2,1.7,31,5460,11.3,67,7,13,1017.3,16.9,52,7,13,1017.1,0,No,No,0,May
5/2/2019,7.3,21.5,1,1.2,46,54660,11.6,84,7,24,1018.9,21.1,59,7,24,1015.4,0,No,Yes,2.6,May
5/3/2019,11.5,20.2,1,7.4,57,41640,15.7,74,1,30,1009,16.8,43,3,30,1007.5,2.6,Yes,No,0,May
5/4/2019,8.1,15.5,3.8,4.2,41,39960,11.5,71,4,22,1013.8,15.3,60,1,22,1017.7,0,No,Yes,1.2,May
5/5/2019,10.2,13.5,1.4,1.4,30,44700,11.2,85,7,15,1026.9,12.5,54,7,15,1025.9,1.2,Yes,No,0,May
5/6/2019,10.7,13.5,2.8,1.1,35,37320,11.4,57,7,24,1023.9,12,57,7,24,1020.3,0,No,No,0,May
5/7/2019,4.4,16.1,1.4,8.2,28,6240,7.2,78,7,13,1011.8,14.1,59,7,13,1006.6,0,No,No,0,May
5/8/2019,5.6,16.5,1.6,4.1,28,73680,8.7,78,6,13,1005.6,16.2,49,5,13,1004.8,0,No,No,0.4,May
5/9/2019,8.7,15.5,1.4,1.4,41,46680,10.2,70,7,17,1009.6,15.3,56,7,17,1005,0.4,Yes,Yes,1.6,May
5/10/2019,9.7,12.9,1.8,0,31,43140,11.2,66,7,17,1016.2,11.4,69,7,17,1016.6,1.6,Yes,No,0.2,May
5/11/2019,2.7,16.6,3,6.6,39,82860,10.6,65,3,15,1017.1,15.6,35,3,15,1016.9,0.2,Yes,No,0,May
5/12/2019,7.9,17.5,1.6,8.7,41,49680,13.4,60,3,26,1019.8,16,33,1,26,1020.3,0,No,No,0,May
5/13/2019,7.6,19.9,2.4,8.1,83,47880,15.5,51,6,54,1016.7,18.3,34,1,54,1011.9,0,No,Yes,1.6,May
5/14/2019,9.6,16,4.8,7,59,56280,11.9,52,5,28,1020,15.1,46,5,28,1019.5,1.6,Yes,No,0,May
5/15/2019,10.9,19.3,3.4,7.6,41,540,14.4,59,6,22,1026,18.3,41,2,22,1025.5,0,No,No,0,May
5/16/2019,6.8,17.6,2.8,9,30,25740,9.8,80,1,7,1026.5,17.1,46,1,7,1023,0,No,No,0,May
5/17/2019,6.9,18.2,1.8,6.5,46,48720,11.6,64,7,20,1023.8,16,44,7,20,1022.7,0,No,No,0,May
5/18/2019,8.3,18.9,1.8,7.8,31,1320,14.6,53,1,17,1028.2,15.1,71,3,17,1027.5,0,No,No,0,May
5/19/2019,5,15.9,3,7.3,24,29640,7.6,88,1,11,1029.7,13,72,7,11,1026.3,0,No,No,0,May
5/20/2019,4.4,15.5,1.6,3.4,31,61080,9.4,76,7,17,1021.2,12.3,80,7,17,1016.2,0,No,Yes,1,May
5/21/2019,6.9,18.7,0.2,2.5,44,54000,13.9,67,7,26,1014.4,18,45,3,26,1015.1,1,Yes,No,0,May
5/22/2019,3.9,17.9,2.4,7.7,39,52740,10.8,77,1,19,1023,17.3,42,1,19,1021.9,0,No,No,0,May
5/23/2019,7.8,17.8,2.6,6.7,41,36420,12.7,55,7,13,1021.7,16.5,44,7,13,1016.8,0,No,No,0,May
5/24/2019,5.2,19.1,3.2,3.2,37,61800,11.2,60,7,20,1013.4,15.1,67,7,20,1008.6,0,No,No,0,May
5/25/2019,8.8,17,0.8,6.7,59,45120,15.4,45,2,28,1004.4,15.3,39,7,28,1002.2,0,No,No,0,May
5/26/2019,9.4,14.9,3.8,5.1,54,42240,11.3,55,1,26,1002.2,12.5,55,7,26,997.7,0,No,No,0.2,May
5/27/2019,5.6,13,2.6,7,46,17940,8.2,61,2,13,995.4,12.5,41,6,13,996.7,0.2,Yes,No,0.2,May
5/28/2019,5.3,12,2.6,5.4,54,42120,8.9,47,2,20,994.5,7.9,78,7,20,990.3,0.2,Yes,Yes,1,May
5/29/2019,2.4,10.2,2,4.9,74,68460,5.9,73,2,28,991.6,8.9,49,6,28,994.8,1,Yes,Yes,6.8,May
5/30/2019,4.6,13.4,1.4,2.4,57,64200,7.4,63,7,31,1011.1,12.2,56,7,31,1008.7,6.8,Yes,No,0.2,May
5/31/2019,7.4,13.8,1.4,0.6,35,34140,11.3,71,6,13,1020,13.5,63,7,13,1022.9,0.2,Yes,No,0,May
6/1/2019,2.1,16.1,0.8,8.3,30,45780,10.2,72,1,17,1029.7,15.7,55,1,17,1027.1,0,No,No,0,June
6/2/2019,5.2,10.5,1.6,8.3,43,62640,7.8,76,7,6,1022.8,10.2,86,8,6,1020.8,0,No,Yes,5.8,June
6/3/2019,6.8,10.2,1.2,5,50,45480,7.6,77,4,22,1025.2,8.5,66,4,22,1024.7,5.8,Yes,Yes,1.2,June
6/4/2019,4.5,11.3,0.6,3.2,41,41760,6.8,70,4,15,1027.1,10.8,64,7,15,1026.5,1.2,Yes,No,0,June
6/5/2019,1.9,13.7,1.2,3.4,72,49680,9.8,59,2,43,1024.9,11.7,53,7,43,1018.9,0,No,No,0,June
6/7/2019,8.7,16.6,2.4,6.3,50,8220,12.4,58,7,20,1029,15.5,52,7,20,1026.9,0,No,No,0,June
6/8/2019,4.8,13.4,2.6,6.6,37,20100,6,73,7,17,1025.2,13.2,47,5,17,1020.3,0,No,No,0,June
6/9/2019,5.8,14.1,1.2,2.1,30,2520,7.8,69,7,13,1017.2,13.6,58,6,13,1014.2,0,No,Yes,1,June
6/10/2019,7.7,15.6,0.8,1.2,57,70680,11.3,85,8,13,1006.1,13.9,71,7,13,997.9,1,Yes,No,0.8,June
6/11/2019,9.1,18.3,2.2,5.7,48,900,13.6,62,3,13,1015.2,17.1,57,4,13,1016.1,0.8,Yes,No,0,June
6/12/2019,6.1,15.2,1.2,0,41,45720,8.7,85,8,20,1011.1,13.9,74,8,20,1002.6,0,No,Yes,2.4,June
6/13/2019,3.7,15.3,0.4,5.8,48,48600,8.9,72,7,26,1006.8,13.2,51,5,26,1003.5,2.4,Yes,No,0,June
6/14/2019,7,13.8,2.6,3.2,50,52260,9.2,61,3,22,1009.7,12,58,4,22,1007.8,0,No,No,0.2,June
6/15/2019,4.5,13.1,1.8,7.9,37,12300,7,69,5,17,1018,12.7,42,6,17,1018.1,0.2,Yes,No,0,June
6/16/2019,1.2,12.7,1.8,7.1,28,32520,3.8,81,7,9,1022.1,12.5,50,1,9,1020.1,0,No,No,0,June
6/17/2019,3.8,14.2,0.8,3.6,30,29400,5.8,75,7,11,1020,13.4,64,7,11,1016.6,0,No,No,0,June
6/18/2019,5.7,15.3,1,4.3,50,84840,12.5,65,8,28,1009.5,13.4,48,6,28,1007.6,0,No,Yes,8,June
6/19/2019,6.9,10.3,3.2,4.7,50,4260,8,57,5,17,1020.7,9.8,59,5,17,1022.1,8,Yes,No,0.2,June
6/20/2019,3.4,11.8,1,5.1,43,51960,6.4,73,1,19,1023.6,7.5,85,7,19,1022.3,0.2,Yes,Yes,4,June
6/21/2019,5,10.9,1.2,4.4,39,2760,8.1,77,4,13,1026,9.8,73,7,13,1026.7,4,Yes,Yes,1,June
6/22/2019,5.6,11.1,0.4,3.8,24,34860,6.2,91,7,7,1030.2,9.9,75,6,7,1029.4,1,Yes,No,0.4,June
6/23/2019,1.5,12.2,0.4,6,24,10440,3.4,86,1,9,1032.1,10.3,60,7,9,1031,0.4,Yes,No,0,June
6/25/2019,0.9,11.7,0.6,4.8,30,72240,4.1,70,7,11,1033.4,11.1,54,7,11,1031.5,0,No,No,0,June
6/26/2019,2.3,14.8,1.4,8,28,39960,6.9,72,1,13,1034.8,14.3,51,7,13,1031.8,0,No,No,0,June
6/27/2019,3.4,13.8,0.6,3.7,35,35220,7.4,76,7,6,1030.9,13.2,60,7,6,1026.9,0,No,No,0,June
6/28/2019,7.3,16.7,1,1.9,37,5640,11.8,64,7,24,1022.3,16.4,55,7,24,1018.1,0,No,No,0,June
6/30/2019,10.2,15.1,2.2,3,70,48540,11.6,53,7,31,997.9,12.7,36,6,31,1002.5,0,No,No,0.2,June
7/1/2019,10,17.9,3.4,6.8,74,75840,15,47,1,33,1007.5,17.7,37,6,33,1003.4,0.2,Yes,Yes,2.6,July
7/2/2019,8,13,5.4,5.5,67,44940,10.1,65,3,13,1006.5,9.4,83,3,13,1009,2.6,Yes,Yes,2.6,July
7/3/2019,3.5,13.5,2.6,5.7,26,25260,8.1,69,1,9,1028.1,12.4,58,7,9,1031,2.6,Yes,No,0,July
7/4/2019,3.2,13.4,0.8,8.2,19,7200,4.7,87,1,13,1041.1,11.7,67,1,13,1040.2,0,No,No,0,July
7/5/2019,2.6,13,0.2,6,24,33180,4.5,92,2,9,1041.3,12.4,66,5,9,1037.2,0,No,No,0.2,July
7/6/2019,1.4,15.6,0.8,7.8,20,28260,4.9,90,1,6,1035,14.5,61,3,6,1032.3,0.2,Yes,No,0.2,July
7/7/2019,3.6,13.1,1.2,5.2,19,14220,5.9,91,7,6,1031.6,11.8,70,7,6,1027.5,0.2,Yes,Yes,1,July
7/8/2019,3.4,14.6,1,4.2,35,0,7.3,90,7,19,1018.9,13.5,59,7,19,1015.1,1,Yes,No,0,July
7/9/2019,5.4,14.7,1.2,7.4,46,42900,8.2,74,1,24,1012.1,13,53,3,24,1008.4,0,No,No,0,July
7/10/2019,7.6,16.3,1.8,3.6,56,50940,9.3,67,7,24,1003.3,15.3,42,7,24,995,0,No,Yes,1,July
7/11/2019,7.8,13.8,2.8,5.6,54,47340,9.5,64,3,22,989.3,12.5,54,6,22,990,1,Yes,Yes,4,July
7/12/2019,6.6,10.1,2.4,6.6,56,17580,8.5,65,6,37,990.9,8.3,56,2,37,990.5,4,Yes,Yes,1.4,July
7/13/2019,4.5,9.1,1.8,1.2,52,57840,6.1,80,7,30,1000,8.9,56,5,30,1005.7,1.4,Yes,Yes,4.8,July
7/14/2019,3.5,11.4,1.2,2.1,56,50520,8.3,74,7,33,1000.1,6.9,67,7,33,997.7,4.8,Yes,Yes,2,July
7/15/2019,4.3,14.7,1,5.1,56,50460,9.3,60,5,37,1010.7,14.4,52,6,37,1005.2,2,Yes,No,0.4,July
7/16/2019,9.2,14.9,2.8,3.3,50,2700,12.9,56,2,11,1009.1,14.6,45,5,11,1009.3,0.4,Yes,No,0,July
7/17/2019,8.9,13.2,1.6,1.8,56,63780,11.1,59,7,22,1001.9,11.2,64,4,22,997.2,0,No,Yes,1.6,July
7/18/2019,4.1,11,1.2,3.6,57,5760,8,62,1,20,1010,10.5,53,7,20,1006.6,1.6,Yes,No,0,July
7/19/2019,6.3,14.8,1.4,7.4,63,36540,9.8,57,1,26,1010.5,13.8,44,1,26,1012,0,No,No,0,July
7/20/2019,4.6,15.8,3,6.1,37,72780,6.7,77,7,22,1014.8,15.4,41,7,22,1010.6,0,No,No,0,July
7/21/2019,6.7,15.9,1.8,7,65,48240,12.6,57,7,43,1000.5,13.5,40,2,43,1000.8,0,No,No,0,July
7/22/2019,6.1,16.8,3.4,7.8,59,50700,11.8,67,3,31,1006.1,15.9,44,2,31,1002,0,No,No,0,July
7/23/2019,8.7,13.2,3.2,4.1,59,3120,9.1,67,7,33,1001.1,12.3,42,6,33,999.4,0,No,No,0,July
7/24/2019,5,14.2,3.2,5.3,41,42180,7.4,59,5,20,1011.1,13.3,56,7,20,1010.2,0,No,No,0,July
7/25/2019,7.2,16.5,2.2,3.8,43,45780,12.1,56,7,19,1015.6,16.1,46,2,19,1013.6,0,No,Yes,1,July
7/26/2019,9.4,12.7,1.8,4.2,48,22200,10,88,7,22,1014.8,11.8,42,1,22,1017.2,1,Yes,No,0,July
7/27/2019,0.9,12.3,1.4,1.7,39,43500,5.6,66,7,24,1020,12.1,49,7,24,1016.5,0,No,No,0,July
7/28/2019,2.2,15.3,1.4,6.9,43,49080,7.8,65,1,26,1020.5,14.9,40,4,26,1015.9,0,No,No,0.4,July
7/29/2019,7.3,10.9,2,5.3,48,69240,8.8,88,7,26,1014.6,9.7,44,5,26,1017.6,0.4,Yes,No,0.4,July
7/30/2019,2,11.7,1.2,5.7,33,45720,4.3,77,3,19,1028.2,11,45,7,19,1027.9,0.4,Yes,No,0,July
7/31/2019,2.2,13.5,1.8,9.2,33,75480,5.4,73,1,11,1030.4,13.1,49,1,11,1027.3,0,No,No,0,July
8/1/2019,4.8,14.1,1.2,4.7,59,43200,12.1,50,7,20,1021.3,12.7,32,5,20,1024.7,0,No,No,0.2,August
8/2/2019,0.8,13.9,1.6,6.7,85,79080,8.9,60,1,24,1026.6,12.5,46,6,24,1021,0.2,Yes,Yes,3.4,August
8/3/2019,6.8,12.2,3.4,6.9,59,50880,8.7,64,7,30,1021.6,10.9,45,7,30,1022.6,3.4,Yes,No,0,August
8/4/2019,1.9,11.2,2.2,3.3,28,1140,5.1,72,7,17,1027.9,10.7,47,5,17,1025.6,0,No,No,0.2,August
8/5/2019,2.1,14.4,1.2,3.7,31,48000,5,70,7,13,1021.6,13.8,44,7,13,1017.2,0.2,Yes,No,0,August
8/6/2019,5,17,1.6,2.6,52,45000,10.3,70,7,30,1009.9,15.3,45,7,30,1005.4,0,No,No,0,August
8/7/2019,7.1,13.1,2.6,9.3,54,52020,9.9,53,4,22,1003.9,12.2,37,2,22,1001.9,0,No,No,0,August
8/8/2019,0.4,8.4,2.8,0.3,22,80400,3.1,81,7,6,997.5,8.2,62,7,6,991.9,0,No,No,0,August
8/9/2019,1,10.8,0.6,3.5,57,70740,4,79,7,26,989.1,9.2,64,7,26,988.6,0,No,Yes,21.4,August
8/10/2019,4,10.2,0,3,61,52080,8,76,7,33,992,9,71,7,33,993.1,21.4,Yes,Yes,8.4,August
8/11/2019,6.8,11.6,0.8,4.3,50,52140,10,82,7,30,1005.5,9.5,82,7,30,1010.4,8.4,Yes,Yes,2,August
8/12/2019,1.8,13.8,0.6,5.9,54,37500,9.7,54,6,22,1013.2,13.1,54,6,22,1012.9,2,Yes,No,0,August
8/13/2019,1.2,15.1,2,9.5,35,540,8.3,72,1,20,1021.9,11.9,71,1,20,1021.9,0,No,No,0,August
8/14/2019,1.7,15.4,1.2,9.3,31,38160,7.2,78,1,17,1023.7,15.1,47,2,17,1019.7,0,No,No,0.2,August
8/15/2019,7.1,18,2.8,6,56,47040,10.4,58,6,26,1012.7,16.6,44,6,26,1008.3,0.2,Yes,No,0.8,August
8/16/2019,7.8,11.4,3,3.8,26,52800,8.8,78,8,17,1011.1,10.6,71,2,17,1012.4,0.8,Yes,No,0,August
8/17/2019,5.4,14.8,0.4,9.9,35,57120,8.2,75,1,19,1021.2,14.1,45,1,19,1017.4,0,No,No,0,August
8/18/2019,7.8,17.7,3.2,6,61,50880,12.3,56,7,33,1005.6,17,31,6,33,997.4,0,No,No,0,August
8/19/2019,4.6,14,2.8,5.1,50,12540,8.3,46,7,24,1004.2,9.2,45,7,24,1005.7,0,No,No,0,August
8/20/2019,6.2,16.6,3,6.1,80,63240,13.1,66,7,54,1004.7,14,54,7,54,997.8,0,No,Yes,5.4,August
8/21/2019,5.9,11.4,4,7.3,78,27600,8.4,60,7,37,1001.8,8.6,64,7,37,1002.4,5.4,Yes,Yes,18.6,August
