Date,Minimum_temperature,Maximum_temperature,Evaporation,Speed_of_maximum_wind_gust,9am_Temperature,9am_wind_speed,9am_MSL_pressure,3pm_Temperature,3pm_wind_speed,3pm_MSL_pressure,Rainfall,Rain_Tomorrow,Month
9/23/19,5,14.2,3.6,33,10.6,15,1018.9,11.6,15,1017.9,0,No,September
9/24/19,8.3,16.5,2.8,46,12.2,31,1017.9,13.8,31,1018.3,0,No,September
9/25/19,5.3,13.4,2.2,31,10.6,13,1025.8,12.2,13,1023.5,0.2,No,September
9/26/19,8.4,19.4,4,43,13.3,13,1022.5,18.5,13,1017.5,0,No,September
9/27/19,9.2,19.5,3.8,63,17.9,17,1004.3,15.8,17,1006.3,0,No,September
9/28/19,2.7,16.8,4,48,11.3,19,1016.6,15.1,19,1014.2,0.2,No,September
9/29/19,8.9,15,3.8,50,10.8,24,1012.9,12.6,24,1014.2,0.6,No,September
9/30/19,6.7,14.8,3.6,41,10.3,26,1025.2,12.4,26,1025,0,No,September
8/1/19,4.8,14.1,1.2,59,12.1,20,1021.3,12.7,20,1024.7,0,No,August
8/2/19,0.8,13.9,1.6,85,8.9,24,1026.6,12.5,24,1021,0.2,Yes,August
8/3/19,6.8,12.2,3.4,59,8.7,30,1021.6,10.9,30,1022.6,3.4,No,August
8/4/19,1.9,11.2,2.2,28,5.1,17,1027.9,10.7,17,1025.6,0,No,August
8/5/19,2.1,14.4,1.2,31,5,13,1021.6,13.8,13,1017.2,0.2,No,August
8/6/19,5,17,1.6,52,10.3,30,1009.9,15.3,30,1005.4,0,No,August
8/7/19,7.1,13.1,2.6,54,9.9,22,1003.9,12.2,22,1001.9,0,No,August
8/8/19,0.4,8.4,2.8,22,3.1,6,997.5,8.2,6,991.9,0,No,August
8/9/19,1,10.8,0.6,57,4,26,989.1,9.2,26,988.6,0,Yes,August
8/10/19,4,10.2,0,61,8,33,992,9,33,993.1,21.4,Yes,August
8/11/19,6.8,11.6,0.8,50,10,30,1005.5,9.5,30,1010.4,8.4,No,August
8/12/19,1.8,13.8,0.6,54,9.7,22,1013.2,13.1,22,1012.9,2,No,August
8/13/19,1.2,15.1,2,35,8.3,20,1021.9,11.9,20,1021.9,0,No,August
8/14/19,1.7,15.4,1.2,31,7.2,17,1023.7,15.1,17,1019.7,0,No,August
8/15/19,7.1,18,2.8,56,10.4,26,1012.7,16.6,26,1008.3,0.2,No,August
8/16/19,7.8,11.4,3,26,8.8,17,1011.1,10.6,17,1012.4,0.8,No,August
8/17/19,5.4,14.8,0.4,35,8.2,19,1021.2,14.1,19,1017.4,0,No,August
8/18/19,7.8,17.7,3.2,61,12.3,33,1005.6,17,33,997.4,0,No,August
8/19/19,4.6,14,2.8,50,8.3,24,1004.2,9.2,24,1005.7,0,No,August
8/20/19,6.2,16.6,3,80,13.1,54,1004.7,14,54,997.8,0,Yes,August
8/21/19,5.9,11.4,4,78,8.4,37,1001.8,8.6,37,1002.4,5.4,Yes,August
8/22/19,4.6,11.7,1.4,72,7.3,19,1014.5,10.9,19,1018,18.6,No,August
8/23/19,2.3,15.8,2.6,44,7.9,28,1018.1,15.5,28,1011.9,0,No,August
8/24/19,7.8,18.1,4,63,13.1,39,1005.1,16.9,39,1000,0,Yes,August
8/25/19,4,11.5,3.2,50,8.7,19,1014.4,10.9,19,1015,14,No,August
8/26/19,5.8,15.3,1.6,46,9.7,28,1020,14.6,28,1017.3,0,No,August
8/27/19,7.5,15.5,3,56,11.4,20,1015.9,14.6,20,1012.6,0,No,August
8/28/19,8.7,9.6,2.8,54,8.7,22,1009,9.3,22,1014.1,0.2,No,August
8/29/19,3.2,13.6,2.6,26,7.9,9,1028.2,12.8,9,1027.8,2.8,No,August
8/30/19,2.7,15.6,1.8,33,6,19,1029,12.9,19,1024.5,0,No,August
8/31/19,4.3,18.8,2.2,43,11.5,28,1020.3,16.7,28,1014.8,0,No,August
7/1/19,10,17.9,3.4,74,15,33,1007.5,17.7,33,1003.4,0.2,No,July
7/2/19,8,13,5.4,67,10.1,13,1006.5,9.4,13,1009,2.6,No,July
7/3/19,3.5,13.5,2.6,26,8.1,9,1028.1,12.4,9,1031,2.6,No,July
7/4/19,3.2,13.4,0.8,19,4.7,13,1041.1,11.7,13,1040.2,0,No,July
7/5/19,2.6,13,0.2,24,4.5,9,1041.3,12.4,9,1037.2,0,No,July
7/6/19,1.4,15.6,0.8,20,4.9,6,1035,14.5,6,1032.3,0.2,No,July
7/7/19,3.6,13.1,1.2,19,5.9,6,1031.6,11.8,6,1027.5,0.2,No,July
7/8/19,3.4,14.6,1,35,7.3,19,1018.9,13.5,19,1015.1,1,No,July
7/9/19,5.4,14.7,1.2,46,8.2,24,1012.1,13,24,1008.4,0,No,July
7/10/19,7.6,16.3,1.8,56,9.3,24,1003.3,15.3,24,995,0,No,July
7/11/19,7.8,13.8,2.8,54,9.5,22,989.3,12.5,22,990,1,Yes,July
7/12/19,6.6,10.1,2.4,56,8.5,37,990.9,8.3,37,990.5,4,No,July
7/13/19,4.5,9.1,1.8,52,6.1,30,1000,8.9,30,1005.7,1.4,Yes,July
7/14/19,3.5,11.4,1.2,56,8.3,33,1000.1,6.9,33,997.7,4.8,No,July
7/15/19,4.3,14.7,1,56,9.3,37,1010.7,14.4,37,1005.2,2,No,July
7/16/19,9.2,14.9,2.8,50,12.9,11,1009.1,14.6,11,1009.3,0.4,No,July
7/17/19,8.9,13.2,1.6,56,11.1,22,1001.9,11.2,22,997.2,0,No,July
7/18/19,4.1,11,1.2,57,8,20,1010,10.5,20,1006.6,1.6,No,July
7/19/19,6.3,14.8,1.4,63,9.8,26,1010.5,13.8,26,1012,0,No,July
7/20/19,4.6,15.8,3,37,6.7,22,1014.8,15.4,22,1010.6,0,No,July
7/21/19,6.7,15.9,1.8,65,12.6,43,1000.5,13.5,43,1000.8,0,No,July
7/22/19,6.1,16.8,3.4,59,11.8,31,1006.1,15.9,31,1002,0,No,July
7/23/19,8.7,13.2,3.2,59,9.1,33,1001.1,12.3,33,999.4,0,No,July
7/24/19,5,14.2,3.2,41,7.4,20,1011.1,13.3,20,1010.2,0,No,July
7/25/19,7.2,16.5,2.2,43,12.1,19,1015.6,16.1,19,1013.6,0,No,July
7/26/19,9.4,12.7,1.8,48,10,22,1014.8,11.8,22,1017.2,1,No,July
7/27/19,0.9,12.3,1.4,39,5.6,24,1020,12.1,24,1016.5,0,No,July
7/28/19,2.2,15.3,1.4,43,7.8,26,1020.5,14.9,26,1015.9,0,No,July
7/29/19,7.3,10.9,2,48,8.8,26,1014.6,9.7,26,1017.6,0.4,No,July
7/30/19,2,11.7,1.2,33,4.3,19,1028.2,11,19,1027.9,0.4,No,July
7/31/19,2.2,13.5,1.8,33,5.4,11,1030.4,13.1,11,1027.3,0,No,July
6/1/19,2.1,16.1,0.8,30,10.2,17,1029.7,15.7,17,1027.1,0,No,June
6/2/19,5.2,10.5,1.6,43,7.8,6,1022.8,10.2,6,1020.8,0,Yes,June
6/3/19,6.8,10.2,1.2,50,7.6,22,1025.2,8.5,22,1024.7,5.8,No,June
6/4/19,4.5,11.3,0.6,41,6.8,15,1027.1,10.8,15,1026.5,1.2,No,June
6/5/19,1.9,13.7,1.2,72,9.8,43,1024.9,11.7,43,1018.9,0,No,June
6/7/19,8.7,16.6,2.4,50,12.4,20,1029,15.5,20,1026.9,0,No,June
6/8/19,4.8,13.4,2.6,37,6,17,1025.2,13.2,17,1020.3,0,No,June
6/9/19,5.8,14.1,1.2,30,7.8,13,1017.2,13.6,13,1014.2,0,No,June
6/10/19,7.7,15.6,0.8,57,11.3,13,1006.1,13.9,13,997.9,1,No,June
6/11/19,9.1,18.3,2.2,48,13.6,13,1015.2,17.1,13,1016.1,0.8,No,June
6/12/19,6.1,15.2,1.2,41,8.7,20,1011.1,13.9,20,1002.6,0,No,June
6/13/19,3.7,15.3,0.4,48,8.9,26,1006.8,13.2,26,1003.5,2.4,No,June
6/14/19,7,13.8,2.6,50,9.2,22,1009.7,12,22,1007.8,0,No,June
6/15/19,4.5,13.1,1.8,37,7,17,1018,12.7,17,1018.1,0.2,No,June
6/16/19,1.2,12.7,1.8,28,3.8,9,1022.1,12.5,9,1020.1,0,No,June
6/17/19,3.8,14.2,0.8,30,5.8,11,1020,13.4,11,1016.6,0,No,June
6/18/19,5.7,15.3,1,50,12.5,28,1009.5,13.4,28,1007.6,0,Yes,June
6/19/19,6.9,10.3,3.2,50,8,17,1020.7,9.8,17,1022.1,8,No,June
6/20/19,3.4,11.8,1,43,6.4,19,1023.6,7.5,19,1022.3,0.2,Yes,June
6/21/19,5,10.9,1.2,39,8.1,13,1026,9.8,13,1026.7,4,No,June
6/22/19,5.6,11.1,0.4,24,6.2,7,1030.2,9.9,7,1029.4,1,No,June
6/23/19,1.5,12.2,0.4,24,3.4,9,1032.1,10.3,9,1031,0.4,No,June
6/25/19,0.9,11.7,0.6,30,4.1,11,1033.4,11.1,11,1031.5,0,No,June
6/26/19,2.3,14.8,1.4,28,6.9,13,1034.8,14.3,13,1031.8,0,No,June
6/27/19,3.4,13.8,0.6,35,7.4,6,1030.9,13.2,6,1026.9,0,No,June
6/28/19,7.3,16.7,1,37,11.8,24,1022.3,16.4,24,1018.1,0,No,June
6/30/19,10.2,15.1,2.2,70,11.6,31,997.9,12.7,31,1002.5,0,No,June
5/1/19,8.9,18,3.2,31,11.3,13,1017.3,16.9,13,1017.1,0,No,May
5/2/19,7.3,21.5,1,46,11.6,24,1018.9,21.1,24,1015.4,0,No,May
5/3/19,11.5,20.2,1,57,15.7,30,1009,16.8,30,1007.5,2.6,No,May
5/4/19,8.1,15.5,3.8,41,11.5,22,1013.8,15.3,22,1017.7,0,No,May
5/5/19,10.2,13.5,1.4,30,11.2,15,1026.9,12.5,15,1025.9,1.2,No,May
5/6/19,10.7,13.5,2.8,35,11.4,24,1023.9,12,24,1020.3,0,No,May
5/7/19,4.4,16.1,1.4,28,7.2,13,1011.8,14.1,13,1006.6,0,No,May
5/8/19,5.6,16.5,1.6,28,8.7,13,1005.6,16.2,13,1004.8,0,No,May
5/9/19,8.7,15.5,1.4,41,10.2,17,1009.6,15.3,17,1005,0.4,No,May
5/10/19,9.7,12.9,1.8,31,11.2,17,1016.2,11.4,17,1016.6,1.6,No,May
5/11/19,2.7,16.6,3,39,10.6,15,1017.1,15.6,15,1016.9,0.2,No,May
5/12/19,7.9,17.5,1.6,41,13.4,26,1019.8,16,26,1020.3,0,No,May
5/13/19,7.6,19.9,2.4,83,15.5,54,1016.7,18.3,54,1011.9,0,No,May
5/14/19,9.6,16,4.8,59,11.9,28,1020,15.1,28,1019.5,1.6,No,May
5/15/19,10.9,19.3,3.4,41,14.4,22,1026,18.3,22,1025.5,0,No,May
5/16/19,6.8,17.6,2.8,30,9.8,7,1026.5,17.1,7,1023,0,No,May
5/17/19,6.9,18.2,1.8,46,11.6,20,1023.8,16,20,1022.7,0,No,May
5/18/19,8.3,18.9,1.8,31,14.6,17,1028.2,15.1,17,1027.5,0,No,May
5/19/19,5,15.9,3,24,7.6,11,1029.7,13,11,1026.3,0,No,May
5/20/19,4.4,15.5,1.6,31,9.4,17,1021.2,12.3,17,1016.2,0,No,May
5/21/19,6.9,18.7,0.2,44,13.9,26,1014.4,18,26,1015.1,1,No,May
